gruppo,corda,serie,cerchio,misura,cod_carico,cod_vel,marca,modello,dot,battistrada,lotto,shore,targa,cliente,rete,scaffale,ubicazione,pezzi,stagione
Nuove,225,45,Z17,22545Z17,94,W,SILVERSTONE,nil,4115,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,175,65,14,1756514,75,T,MATADOR,PM16,1216,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AB,1,ESTIVO
Nuove,155,65,14,1556514,75,T,FIRESTONE,MULTIHAWK 2,3416,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AB,0,ESTIVO
Nuove,135,80,13,1358013,70,T,KLEBER,VIAXER,1415,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AB,4,ESTIVO
Nuove,155,65,13,1556513,73,T,FIRESTONE,MULTIHAWK 2,4516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AB,4,ESTIVO
Nuove,155,55,13,1555513,73,H,KHUMO,SOLUS KH17,4414,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AB,1,ESTIVO
Nuove,155,80,13,1558013,79,T,AUTOGRIP,RADIAL 102,4113,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AB,1,ESTIVO
Nuove,155,80,13,1558013,79,T,FIRESTONE,MULTIHAWK 2,317,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AB,4,ESTIVO
Nuove,195,60,15,1956015,88,T,GOODYEAR,nil,2413,nil,536,65,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,195,60,15,1956015,88,H,MATADOR,MP44,4915,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BA,1,ESTIVO
Nuove,195,55,15,1955515,85,V,HIFLY,HF201,4115,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BM,4,ESTIVO
Nuove,195,55,15,1955515,85,V,HANKOOK,VENTUS PRIME 3,2416,nil,nil,nil,nil,nil,nil,PIANO TERRA,1BM,2,ESTIVO
Nuove,195,65,15,1956515,91,H,DEBICA,PRESTO HP,4516,nil,584,nil,nil,nil,nil,PIANO TERRA,1AM,2,ESTIVO
Nuove,195,55,16,1955516,91,V XL,HIFLY,HF805,1916,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AM,0,ESTIVO
Nuove,195,60,15,1956015,88,V,CENTARA,VANTI TOURING,3516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AM,0,ESTIVO
Nuove,195,55,16,1955516,87,W,CENTARA,VANTI HP,3116,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AM,1,ESTIVO
Nuove,205,55,16,2055516,91,V,CENTARA,VANTI TOURING,3516,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AA,13,ESTIVO
Nuove,205,55,16,2055516,91,V,HANKOOK,VENTUS PRIME 3,1716,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AA,2,ESTIVO
Nuove,215,45,17,2154517,91,W,FALKEN,ZIEX ZE914,2715,nil,nil,nil,nil,nil,nil,PIANO TERRA,1AA,2,ESTIVO
